c,mu,distance
0.434602362882086,0.36826294719434605,0.017116929308002838
0.4510829507072963,0.48478364190038137,0.017304372014846754
0.4960989267680941,0.6114366795783253,0.017326396906764147
0.46623982774793926,0.7273029365047974,0.017362752972929354
0.4984089142295849,0.5821278504029498,0.01739625580035887
0.48629076695827067,0.19929484831512412,0.017407618469782483
0.45958704214719304,0.5358473355232766,0.017433625086128817
0.4430485077738511,0.72071975925994,0.01744893977283902
0.40269738486630213,0.43790415652261316,0.017508799462720895
0.48787410232987993,0.2353297502156333,0.017563845842134145
0.4749161938571217,0.4543549501264367,0.01758382069448841
0.44857845290388976,0.5236215090653226,0.01772971698949851
0.45836714547398894,0.5118217714955781,0.01778358247836435
0.42777884724514703,0.6007349080642495,0.017805858907462894
0.44576436587896484,0.8702651174057033,0.017825148453706852
0.43688568378144077,0.7198145348083493,0.01782886176288789
0.4434954423611087,0.4641414010320005,0.017958524698839386
0.47518663293068564,0.44812122788062214,0.018094838423083574
0.4346579902893253,0.3511617784846822,0.018125053422998093
0.3759162403858196,0.44979345511742563,0.018148159940969848
0.3982034037231831,0.4631933448855392,0.01819584325218002
0.46377893283437155,0.6669335521968207,0.018212540748080347
0.3922294799015401,0.5003267877619622,0.01826586454958311
0.4812959123110039,0.42122100197627255,0.018301903119463465
0.364146267420967,0.37826185168558435,0.018361491852499603
0.434618927471611,0.30248996424953656,0.018365821879423316
0.39441075723946406,0.6557111078483644,0.018396265747822965
0.3645717507320665,0.7902956632243143,0.01839776922899442
0.46536989377459814,0.4252259278487637,0.01840363585199025
0.4665417022220999,0.5806142652942673,0.01844836324261585
0.4699856987094798,0.44516770160731134,0.018512786530266213
0.3590900720884409,0.5383546423164847,0.01862077254940706
0.41051876584876945,0.6805512654841508,0.01864994691946091
0.44892380018510525,0.6282361289032619,0.018654336938023434
0.45433071570299133,0.6387708487957081,0.018809036333922214
0.41434913543446306,0.7163780925628974,0.018812554661912718
0.42547369398947865,0.6226420658187506,0.01881283415808554
0.43021591295412154,0.3937889055482353,0.018818203719004226
0.3915188164016602,0.24953556530317106,0.01894635553233484
0.4210552719184071,0.4957991731500926,0.018946704595573786
0.463322202749178,0.7536352346853938,0.018988956217593795
0.44945047996380527,0.7834187739024351,0.018999990503653072
0.4097389276837694,0.47147717098532305,0.019041447588716183
0.38504851547676844,0.39214968725359267,0.019209575791311082
0.42379342633004924,0.8531374530968773,0.019242706376824903
0.37710887279739136,0.21409360609647,0.01927717305212788
0.42897953193047433,0.7052651858519025,0.01933169968306362
0.4455421814221465,0.7816489723956378,0.019389576624320604
0.4275320803517827,0.3025958032164187,0.019414315941915054
0.4275676354018426,0.7764735568040346,0.019508429423484883
0.42971690389502604,0.808273205629932,0.019526855565081252
0.43248191374493683,0.4872205642952595,0.019598933052219474
0.45143995519541213,0.29709278881391277,0.019611864410431577
0.42085764807695514,0.7407054259660192,0.019658906944669836
0.46346191664395076,0.5716292907539806,0.019704126649785426
0.4233220927374156,0.40509402768418534,0.01974694376782952
0.44958733063720846,0.14411870045644584,0.01977001975288114
0.42313684675811725,0.5513570194838859,0.019813494853598974
0.49917267951646893,0.4834200565128003,0.01985811787340307
0.36826435482262165,0.356849189793947,0.01989801834146664
0.4845973252198862,0.25926408521206856,0.019921640133363817
0.47571450411828553,0.3145942451552235,0.020000394878860912
0.3546662512219907,0.5866033231151176,0.020002778360178077
0.4431607037959987,0.35083409456892223,0.020026312833819893
0.4149338393494516,0.6055019880700697,0.02006430296152925
0.40747017176144495,0.5289098027117157,0.020068623624172364
0.42872040499655706,0.6790938254835034,0.02010945333519798
0.3981342876323978,0.22113034454832559,0.020166184100379438
0.4826693376441096,0.2713260912685256,0.020195010331010718
0.4771038089304779,0.4616768403848397,0.020216706083060264
0.4949662033933371,0.14420828900585303,0.020253278104533895
0.4264050976080046,0.6463374341532421,0.020338415238090136
0.4948000287436186,0.39654654028179104,0.0203388303252008
0.4031432853816471,0.4760099211287141,0.0203621657720918
0.46536398187763384,0.17829486604352854,0.02036570735357462
0.3613794269928974,0.6647925641401714,0.020383796734685815
0.4513918380233706,0.6061119720307413,0.020387601827361015
0.3788407435141099,0.7834787975156323,0.02046295501896868
0.49108231290733617,0.8200728211651349,0.02046503091927467
0.4961103734026774,0.27333916877274494,0.02050658526280483
0.3941581003369041,0.3879209694132355,0.0205154097491335
0.3932023224243931,0.5697134854935878,0.020563105814327607
0.4132911888722901,0.4653738746022794,0.02056807532448002
0.3397008758392863,0.6603994149563703,0.020581509473367638
0.40162879880476265,0.757171590582259,0.020583818240525048
0.4651775755385873,0.6993496436859526,0.020650592256686046
0.49555439951039926,0.5441512135378663,0.020694981833071877
0.43021281669740463,0.7592624958737558,0.020747443169730945
0.39667149315074435,0.6581191175616234,0.02075033947556889
0.4835660561102658,0.6362931560396892,0.0207628670918404
0.38945736602740644,0.3910301034754937,0.02081501448439971
0.4710434826091814,0.5842768558134079,0.02084756770683583
0.4286840792678954,0.3058542839809638,0.020891545754387078
0.43301114845323807,0.7851602555825866,0.020926343598278142
0.4362901271317636,0.45359289993744045,0.020975935314726295
0.4823489714877569,0.29065023129721534,0.021005891270823925
0.4371854080885108,0.2937406433247238,0.021027499817367956
0.4896696941076555,0.8174260447030138,0.02102812511681639
0.3525730540729274,0.6443399002334436,0.02106355448135335
0.4161245324915559,0.36456600163938113,0.021079157499106306
0.3707082884616679,0.1945196983003694,0.02109991517855646
0.4335082329882044,0.8705225836754863,0.02110309203357562
0.4725031252342361,0.2812097886047008,0.02110959542037735
0.47033764665473654,0.1738889778927148,0.021138001811050137
0.4456803133361885,0.6117357536286431,0.021193915560182394
0.3948313652843002,0.6134258913470453,0.02124590469870794
0.48409660848849145,0.2505653819715925,0.021268663294247904
0.472920333561761,0.2814523837395997,0.021337799748165336
0.45573606996204685,0.19604338839356378,0.02133986612671108
0.4375835683578052,0.49960134088477315,0.021365409424878922
0.4345278303777169,0.8544986803791814,0.02137259938507259
0.42399538007457094,0.5711623263892285,0.02141253795219866
0.47013570227253687,0.1841396277407971,0.021460565680582747
0.47013657433578704,0.1999236540884337,0.021515659716561192
0.42635772222283075,0.3755849955835857,0.021547938278873524
0.4226349912517541,0.5083215681251744,0.021617342505657788
0.44786471444234055,0.7530811970592265,0.021623796829658277
0.48697503601316405,0.7869760226782401,0.021662725324499293
0.4852147112910955,0.3886071528581426,0.021678022362646987
0.4653849782657148,0.24765833519224964,0.021686681805810903
0.40692548805007867,0.5540132656218018,0.021763006783143735
0.4678912920671724,0.13948358859728283,0.02181226510229889
0.49351221895857655,0.43538368946080974,0.021867971916126744
0.48717857635834194,0.8227925079376345,0.02190285231038058
0.4674798020890315,0.660096707025711,0.02191971853345497
0.3669053716141436,0.6260012179761363,0.021945900402873898
0.43530375603799876,0.7388356161334352,0.021970904851255028
0.48907604830848805,0.8437663300281496,0.021978080044710465
0.44238603021423495,0.8299342875323239,0.022026990597646845
0.4741705516518674,0.527578594309526,0.022103361865166572
0.4898532290589903,0.8975740583668166,0.022179733481439968
0.3941667042836593,0.6103835112158291,0.022193093369133506
0.47475978583438705,0.6771178981684243,0.02220048526273608
0.4634692432067552,0.375969071755473,0.022212097403508203
0.4682465951035323,0.4105841248959008,0.022233003457318767
0.3637096396710128,0.7923107502365557,0.02230715336598473
0.39690153453977184,0.2851157470461416,0.022338003114088838
